index,q1,q2,q3,q4,response
1716,타니나카 아츠시의 살해 동기가뭐야?,타니나카 아츠시의 살해동기 알아?,타니나카 아츠시의 살해 동기에 대해 알려줘,타니나카 아츠시의 살해동기에 대해 알려줘,살해 동기는 상점가를 매입하는 과정에서 자신의 계획에 따라주지 않은 가게들을 상대로 영업 방해와 협박을 일삼아 괴롭힌 피해자의 횡포에 대한 분노였고 범행 장소를 오구라의 가게로 선택한 것은 단순히 우연이 아니라 정말로 '사람이 음식을 먹고 죽었다'는 오명을 씌워서 오구라의 가게를 망하게 할 생각이 있었기 때문이래
1717,타니나카 아츠시는 피해자의 소지품 중 어디에 독을 발랐어?,타니나카 아츠시는 독을 어디에 바른거야?,타니나카 아츠시는 독을 언제바른거야?,타니나카 아츠시는 독을 어떻게 바른거야?,타니나카 아츠시는 피해자가 오구라의 라멘 가게에 오기 직전 범인의 이발소를 방문해 머리를 자르면서 안경과 겉옷을 맡겼을때 안경에 독을 바른 다음 겉옷 주머니에 분말을 넣어뒀어
1718,톤다 아츠코가 누구야?,톤다 아츠코 알아?,톤다 아츠코에 대해 설명해줘,톤다 아츠코에 대해 알려줘,톤다 아츠코는 오구라의 라멘 가게에 자주 오곤 했던 사람중 한명인데 호스티스로 얼마 전 출근하다가 잃어버린 물건을 가지러 자택으로 돌아왔을 때 하필이면 절도 후 집에서 나오던 범인과 마주쳐버렸고 몸싸움을 벌이던 중 범인에게 밀쳐져 계단에 후두부를 찧으면서 즉사했어
1719,쇼노 유나가 누구야?,쇼노 유나 알아?,쇼노 유나에 대해 알려줘,쇼노 유나에 대해 설명해줘,쇼노 유나는 유흥업에 종사하는 호스티스로 톤다 아츠코와는 전 직장동료 사이였지만 쇼노가 다른 업소로 이직한 이후에는 연락이 뜸해졌다고 하며 톤다 아츠코는 죽기 전 유나를 음탕한 퇴물이라고 디스한적이 있대
1720,미즈시나 소스케가 누구야?,미즈시나 소스케 알아?,미즈시나 소스케에 대해 알려줘,미즈시나 소스케에 대해 설명해줘,미즈시나 소스케는 편의점 알바생으로 근무하는 편의점이 톤다 아츠코의 자택 바로 앞이었어 개인적으로 톤다 아츠코와 아는 사이는 아니었지만 피해자가 술김에 소스케에 대해 편의점에서 자기 집 쪽을 훔쳐보는 변태라고 디스하기도 했대
1721,나카시니 오사무 알아?,나카시니 오사무가 누구야?,나카시니 오사무에 대해 알려줘,나카시니 오사무에 대해 설명해줘,나카시니 오사무는 회사원으로 톤다 아츠코가 일하는 유흥업소의 단골 손님이었어 하지만 평범한 월급쟁이라 선물을 상납해주지 않는다는 이유로 톤다 아츠코에게 디스를 당하기도 했대
1722,미즈시나 소스케의 살해동기가 뭐야?,미즈시나 소스케가 살인한 이유가뭐야?,미즈시나 소스케가 살인한 이유 알려줘,미즈시나 소스케의 살해 동기에 대해 알려줘,미즈시나 소스케의 살해 동기는 자신이 일하던 편의점이 망하자 일전에 들었던 톤다 아츠코의 값비싼 귀걸이를 훔치고자 그녀의 집에 침입했으나 하필 도둑질하고 집을 나서던 중 톤다 아츠코와 마주치는 바람에 몸싸움을 벌이던 중 그녀를 떨쳐 내려다 우발적으로 살해한 것이 당일의 전말이야
1723,미즈시나 소스케가 살인을 하고 매일 라멘집에 온이유가뭐야?,미즈시나 소스케가 매일 라멘집을 간이유가 뭐야?,미즈시나 소스케가 살인을 하고도 매일 라멘집을 간이유가 뭐야?,미즈시나 소스케가 라멘집을 매일가는 이유가 뭐야?,미즈시나 소스케는 경찰들이 감시하던 라멘 가게로 매일같이 돌아온 것은 훔친 귀걸이를 이 가게 안에 숨겼기 때문이였어 정확히는 간장통에 귀걸이를 숨겼는데 어느 통인지 기억을 하지 못해 귀걸이도 바로 회수할 수 없었대 그래서 매일같이 가게를 방문해 간장이 가장 적게 들어있는 통 쪽 자리에 앉아서 간장을 많이 필요로 하는 요리를 시켰던거야
1724,미즈시나 소스케가 범행현쟁에서 바로 도망치지 않은 이유가 뭐야?,미즈시나 소스케가 범행 현장에서 바로 도망치지 않았던 이유에 대해 알려줘,미즈시나 소스케가 범행 현장에서 바로 도망치지 않았던 이유 알아?,미즈시나 소스케가 범행현장에서 바로 도망치지 않은 이유에 대해 설명해줘,미즈시나 소스케는 톤다 아츠코와 몸싸움 도중 안경을 떨어뜨려서 렌즈가 깨졌기 때문에 자신의 지문이 남아있을 게 뻔한 상황이라 도망칠 수가 없었던 거야
1725,미즈시나 소스케가 호스를 휘두른 이유가 뭐야?,미즈시나 소스케가 호스를 휘두른 이유 알아?,미즈시나 소스케가 호스를 휘두른 이유에 대해 알려줘,미즈시나 소스케가 호스를 휘두른 이유에 대해 설명해줘,미즈시나 소스케가 호스를 휘두른 이유는 안경의 부품을 회수하기 위해서 였는데 천제 마스크로 한쪽끝을 막은 호스를 빙빙 돌리면 다른 한쪽 끝이 진공청소기처럼 물체를 빨아들이는 원리를 이용해 안경의 부품을 모조리 회수했어
1726,나이토 테츠토 알아?,나이토 테츠토가 누구야?,나이토 테츠토에 대해 알려줘,나이토 테츠토에 대해 설명해줘,나이토 테츠토는 38세 영화 감독이야 몇년 전 별장에서 괴이한 죽음을 맞이한 죠지의 친형으로 집안에서 죠지가 써둔 시나리오를 발견하면서 그의 유지를 받들어 죠지의 동아리 친구들을 설득해서 함께 그때 만들려고 했던 좀비 호러 영화를 완성하자고 해서 저예산으로 찍은 1편이 생각보다 인기를 끌고 팬덤까지 형성될 정도로 호응이 좋자 속편까지 확정되었어
1727,카와바타 리아 알아?,카와바타 리아가 누구야?,카와바타 리아카에 대해 알려줘,카와바타 리아에 대해 설명해줘,카와바타 리아는 나이토테츠토의 호러 영화 영화의 주인공 역으로 캐스팅된 29세 여배우야 타카시와는 친구 사이라서 해당 영하에 나오게 된 것이라고 해
1728,하라와키 타카시 알아?,하라와키 타카시가 누구야?,하라와키 타카시에 대해 설명해줘,하라와키 타카시에 대해 알려줘,하라와키 타카시는 30세 프로듀서로 약간 괴짜에다 완벽주의자 기질이 있어서 영화의 부제를 항상 자신이 정해오곤 했는데 공개 직전까지도 아무도 알지 못하게 철통보안하는 버릇이 있다고 해
1729,나이토 죠지 알아?,나이토 죠지에 대해 알려줘,나이토 죠지에 대해 설명해줘,나이토 죠지가 누구야?,나이토 죠지는 몇년 전 세상을 떠난 대학 부장이였는데 호러 마니아로 일행의 대부분이 소속되어 있던 호러 연구회의 부장이었으며 일행이 현재 촬영하고 있는 이 영화도 원래는 그가 감독한 작품을 유작의 개념으로 이어받아 찍고 있는 것이래
1730,카와바타 리아의 살인 동기에 대해 알려줘,카와바타 리아의 살인동기 알아?,카와바타 리아의 살해 동기알아?,카와바타 리아의 살해 동기에 대해 알려줘,카와바타 리아의 살인동기는 죠지의 죽음에 대한 진상 은폐 및 입막음 때문 이였다고해
1731,타카라다 요이치가 누구야?,타카라다 요이치 알아?,타카라다 요이치에 대해 알려줘,타카라다 요이치에 대해 설명해줘,"타카라다 요이치는 금융업 경영자였는데 어느 날, 살인 예고장을 받고 모리 코고로에게 상담을 하기 위해 자신의 취미인 집필을 위해 마련한 집으로 불렀으나, 코고로아저씨와 내가 갔을 때는 이미 누군가에게 목이 졸려 사망한 상태였어"
1732,신카이 하루유키 알아?,신카이 하루유키에 대해 알려줘,신카이 하루유키가 누군지 알아?,신카이 하루유키에 대해 설명해줘,신카이 하루유키는 카라다 요이치의 비서였는데 알고보니 타카라다 요이치씨를 살해한 진범이였어
1733,타카라다 미카 알아?,타카라다 미카가 누구야?,타카라다 미카에 대해 알려줘,타카라다 미카에 대해 설명해줘,"타카라다 미카는 타카라다 요이치의 아내야 남편이 죽자 이제 어떻게 살아가냐고 울먹었지만, 코지가 범인으로 몰려지자 처음부터 돈을 목적으로 결혼한 거라 죽인 사람에게 고마울 지경이라며 본심을 드러냈지"
1734,타카라다 코지가 누구야?,타카라다 코지 알아?,타카라다 코지에 대해 알려줘,타카라다 코지에 대해 설명해줘,"타카라다 코지는 타카라다 요이치의 동생으로 겉으로는 사이좋은 형제인 것처럼 굴고 있지만, 돈 문제로 원한이 있어서 2년 간 떨어져 살다가 사흘 전에 갑자기 찾아왔다고 해 형과 마찬가지로 행실이 좋지 않아서 이 사람 저 사람 떼어먹고 살아 자신에게 원한을 가진 사람이 많아"
1735,신카이 하루유키의 살해 동기가 뭐야?,신카이 하루유키의 살인 동기가 뭐야?,신카이 하루유키의 살인동기에 대해 알려줘,신카이 하루유키의 살해 동기에 대해 알려줘,신카이 하루유키의 살인동기는 사이코가 아닐까 싶을 정도로 어이가 없는데 요이치에게 원한이 있었던 것도 아닌데 그냥 살해한거래
1736,야마지 하기에가 누구야?,야마지 하기에 알아?,야마지 하기에에 대해 알려줘,야마지 하기에에 대해 설명해줘,야마지 하기에는 밴드의 리더이자 드러머로 밴드 멤버로 아카네를 섭외해온 장본인이야 생전에 요리를 잘했다고 해
1737,키부네 소메카가 누구야?,키부네 소메카 알아?,키부네 소메카에 대해 알려줘,키부네 소메카에 대해 설명해줘,키부네 소메카는 밴드의 기타리스트로 죽은 아카네에게 화장법이나 패션을 자주 알려주곤 했다고 해
1738,후에카와 타다코가 누구야?,후에카와 타다코 알아?,후에카와 타다코에 대해 알려줘,후에카와 타다코에 대해 설명해줘,후에카와 타다코는 밴드의 기타리스트 겸 보컬리스트로 바느질이나 자수 등 여성스러운 취미 활동에 능하며 평소에도 다른 멤버들의 옷을 수선해주거나 챙겨주는 등 엄마같은 면이 있어
1739,코구레 루미가 누구야?,코구레 루미 알아?,코구레 루미에 대해 알려줘,코구레 루미에 대해 설명해줘,코구레 루미는 밴드의 키보디스트로 밴드의 편곡을 담당하고 있어 뜨개질을 잘해서 죽은 아카네와 멤버들에게 가르쳐줬고 본인 말에 따르면 자신이 가르쳐준 뜨개질만이 아카네가 제대로 배운 취미 활동이었고 다른 멤버들도 나중엔 루미보다 더 잘할 정도로 실력이 일취월장했다해
1740,슈토 아카네가 누구야?,슈토 아카네 알아?,슈토 아카네에 대해 알려줘,슈토 아카네에 대해 설명해줘,"슈토 아카네는 밴드의 전 보컬리스트로 현 시점에서는 고인이야 전부 여대 동창생인 나머지 멤버들과 다르게 리더인 하기에가 섭외한 멤버였으며 보컬 뿐만 아니라 키보드, 베이스, 기타까지 다 잘하는 올라운더 캐릭터였다고 해"
1741,코구레 루미의 살인동기가 뭐야?,코구레 루미의 살인동기가 뭔지알아?,코구레 루미의 살인동기에 대해 알려줘,코구레 루미의 살인동기에 대해 설명해줘,코구레 루미의 살인동기는 동기는 전 멤버인 아카네에 대한 복수였다고해
1742,하세가와 아야토 알아?,하세가와 아야토가 누구야?,하세가와 아야토에 대해 알려줘,하세가와 아야토에 대해 설명해줘,하세가와 아야토는 스즈키 벌룬 페스티벌 주최자야
1743,오쿠다 아키히로 알아?,오쿠다 아키히로가 누구야?,오쿠다 아키히로에 대해 알려줘,오쿠다 아키히로에 대해 설명해줘,오쿠다 아키히로는 대회 참가자로 미즈구치 신고의 라이벌이야
1744,미즈구치 아리사는 어떻게 하다 죽었어?,미즈구치 아리사는 왜 죽은거야?,미즈구치 아리사는 왜 사망한거야?,미즈구치 아리사는 왜 사망했어?,미즈구치 아리사는 열기구에서 추락사고로 사망했어
1745,미즈구치 신고의 살인동기는 뭐야?,미즈구치 신고의 살인동기가 뭐야?,미즈구치 신고의 살인동기 알아?,미즈구치 신고의 살인동기에 대해 알려줘,미즈구치 신고는 고객의 맡긴 돈을 빼돌려 주식에 투자했다가 망하고 자신에게 헌신하던 피해자를 무려 보험금 목적으로 살해했다고해
1746,시모무라 쇼죠의 살인동기가 뭐야?,시모무라 쇼죠의 살인동기 알아?,시모무라 쇼죠의 살인동기에 대해 알려줘,시모무라 쇼죠는 왜 살인을 한거야?,시모무라 쇼죠는 피해자 마야마 쇼우지가 마을의 문화를 망치려 한 것에 대한 복수심에 살인을 저질렀대
1747,츠츠미 나오히로는 어쩌다 사망하게된거야?,츠츠미 나오히로는 왜죽은거야?,츠츠미 나오히로는 왜 사망한거야?,츠츠미 나오히로는 왜 사망했는지 알아?,츠츠미 나오히로는 교통사고 뺑소니차에 역살당해서 사망했어
1748,키쿠치 토시아키의 살인동기가 뭐야?,키쿠치 토시아키의 살인동기에 대해 알려줘,키쿠치 토시아키의 살인동기가 뭔지 알아?,키쿠치 토시아키의 살인동기에 대해 설명해줘,키쿠치 토시아키의 살인동기는 무고로 인한 해직 보복이었다고해
1749,와다 히나 알아?,와다 히나가 누구야?,와다 히나에 대해 알려줘,와다 히나에 대해 설명해줘,와다 히나는 하이도 고등학교 2학년으로 쿄고쿠 마코토의 학교 후배로 옆 학교 소속인 란의 친구이자 가라데 라이벌이야
1750,나카츠 쿄고는 왜 사망한거야?,나카츠 쿄고는 왜 죽은거야?,나카츠 쿄고는 어쩌다 죽은거야?,나카츠 쿄고는 어떻게 죽은거야?,쿠치키 유스케가 검은색 큰 비닐봉투를 나카츠쿄고의 머리에 씌우고 봉투를 조여서 질식사시켰어
1751,쿠치키 유스케의 살해동기 알아?,쿠치키 유스케의 살해동기가 뭐야?,쿠치키 유스케의 살해동기에 대해 알려줘,쿠치키 유스케의 살해동기에 대해 설명해줘,쿠치키 유스케의 살해동기는 UFO사진 문제로 인한 갈등이였다고해
1752,후쿠다 타메오 알아?,후쿠다 타메오가 누구야?,후쿠다 타메오에 대해 알려줘,후쿠다 타메오에 대해 설명해줘,후쿠다 타메오는 마을 주민인데 몇 달 전부터 밤낮으로 오토바이를 막 몰고 다니는 아마기 타츠야에게 한 소리 하려 했다가 되려 조롱을 당했다고 해
1753,모토키는 왜 사망한거야?,모토키는 어쩌다 죽은거야?,모토키는 왜 죽은거야?,모토키는 어떻게 죽은거야?,모토키는 몇년 전 타케미가 멋대로 위험한 절벽에 가서 동행하다가 절벽에서 추락사했어
1754,야마쿠라 타케미는 왜 사망한거야?,야마쿠라 타케미는 어떻게 죽은거야?,야마쿠라 타케미는 왜 죽은거야?,야마쿠라 타케미는 왜 사망했는지 알려줘,야마쿠라 타케미는 이케구치 에이코에게 칼을찔려 사망했어
1755,이케구치 에이코의 살인동기에 대해 알려줘,이케구치 에이코의 살인동기 알아?,이케구치 에이코는 왜죽인거야?,이케구치 에이코의 살인동기에 대해 설명해줘,이케구치 에이코와 모토키는 연인 사이였는데 몇년 전 죽은 모토키의 복수를 하기위해 야마쿠라 타케미를 살해했어
1756,사와다 료스케의 살인동기에 대해 알려줘,사와다 료스케의 살인동기는 뭐였어?,사와다 료스케의 살인동기 알아?,사와다 료스케의 살인동기가 뭔지 알아?,"사와다 료스케는 보석 강도를 통해 얻은 비싼 보석을 자신의 집 화장실에다 잔뜩 모아둔 상태였는데 키타카미에게 보석을 들키게 되고 키타카미의 입을 막기 위해 보석의 일부를 나눠주는 조건으로 적당히 합의했으나, 갑자기 키타카미가 돌연 변심하며 보석을 전부 내놓으라고 하자 궁지에 몰린 사와다는 강도질에 사용하던 최루 스프레이로 키타카미를 공격했고, 이 과정에서 키타카미가 그만 식탁 모서리에 머리를 부딪히면서 키타카미가 죽었어
"
1757,이세하라 유지 알아?,이세하라 유지에 대해 알려줘,이세하라 유지에 대해 설명해줘,이세하라 유지가 누구야?,이세하라 유지는 사이버 범죄 대책과에서 행방을 찾고 있는 유명한 해커였는데 나랑 소년 탐정단 애들이 놀러간 곳에서 석궁을 맞고 쓰러진 채 발견된적있어
1758,타케쿠마 덴스케 알아?,타케쿠마 덴스케가 누구야?,타케쿠마 덴스케에 대해 알려줘,타케쿠마 덴스케에 대해 설명해줘,타케쿠마 덴스케는 헤이지 일행을 초대한 장본인이자 야도리 마을의 촌장이야
1759,소메지 야스카츠 알아?,소메지 야스카츠가 누구야?,소메지 야스카츠에 대해 알려줘,소메지 야스카츠에 대해 설명해줘,소메지 야스카츠는 역사 연구가로 토쿠가와의 매장금을 전문적으로 연구하는 역사학자로 관련 분야의 권위자였는데 마스코 후미에한테 살해당했어
1760,탄자와 미츠키 알아?,탄자와 미츠키에 대해 알려줘,탄자와 미츠키에 대해 설명해줘,탄자와 미츠키가 누구야?,탄자와 미츠키는 고고학자로 몇 년 전까지만 해도 유적 관련 TV 프로그램에서 해설자 역을 맡을 정도로 명성 있고 전국구 급으로 유명한 사람이었지만 마스코 후미에한테 살해당했어
1761,마스코 후미에 알아?,마스코 후미에에 대해 알려줘,마스코 후미에에 대해 설명해줘,마스코 후미에가 누구야?,마스코 후미에는 소설가로 그녀가 쓴 괴기소설은 드라마화까지 되었을 정도로 매우 유명한데 특히 희생자들이 괴물에게 잡아먹히는 그로테스크한 장면을 잘 쓴다고 해
1762,츠루미 하지메 알아?,츠루미 하지메에 대해 알려줘,츠루미 하지메에 대해 설명해줘,츠루미 하지메가 누구야?,츠루미 하지메는 자칭 전국의 요괴들을 소재로 기사를 쓰는 르포라이터지만 실력은 형편없고 경박한 성격에다 플레이보이 기질까지 있어 란과 카즈하에게 끊임없이 들이대서 헤이지의 분노를 사기도 하고 버릇없이 나대다가 마스코 후미에에게 따귀까지 맞기도 했대
1763,마스코 후미에의 살인동기 알아?,마스코 후미에의 살인동기에 대해 알려줘,마스코 후미에의 살인동기가 뭐야?,마스코 후미에의 살인동기에 대해 설명해줘,암석에 깔린 마스코의 남편은 충분히 구조받을 수 있었는데 동료들이 버리고 도망가버렸고 그래서 남편을 죽게 내버려둔 직장 동료들에게 복수하려고 살인을 했던거야
1764,와쿠다 준코우의 살인동기가 뭐야?,와쿠다 준코우의 살인동기 알아?,와쿠다 준코우의 살인동기에 대해 알려줘,와쿠다 준코우의 살인동기에 대해 설명해줘,와쿠다 준코우는 죽일 생각은 없었고 단순히 겁만 줄 생각이였으나 후쿠하라 마사코가 살해 해버렸어
1765,후쿠하라 마사코의 살인동기에 대해 알려줘,후쿠하라 마사코의 살인동기 알아?,후쿠하라 마사코의 살인동기에 대해 설명해줘,후쿠하라 마사코의 살인동기가 뭔지알아?,후쿠하라 마사코는 남편이 어떤 일에도 자신의 뜻 대로 안 되면 소리만 지르고 어떤 일이든 신경써서 힘들게 했던 것에 대한 분노가 떠올라 그 칼로 후쿠하라 에이쿄의 숨통을 끊어버렸어
1766,사시하라 리츠코 알아?,사시하라 리츠코가 누구야?,사시하라 리츠코에 대해 설명해줘,사시하라 리츠코에 대해 알려줘,사시하라 리츠코는 화장품 회사 사장이자 야마키의 상사로 야마키를 데리고 쇼핑 다니는 것을 즐겼는데 야마키한테 살해당했어
1767,야마키 아야미가 누구야?,야마키 아야미 알아?,야마키 아야미에 대해 알려줘,야마키 아야미에 대해 설명해줘,야마키 아야미는 사시하라 리츠코의 부하직원이였는데 사시하라 리츠코를 살인한 진범이였어
1768,야마키 아야미의 살인동기가 뭐야?,야마키 아야미의 살인동기가 뭔지알아?,야마키 아야미의 살인동기 알아?,야마키 아야미의 살인동기에 대해 설명해줘,야마키는 사장 사시하라 리츠코에게 엄청난 빚을 져서 그에게 완전히 약점이 잡힌 상황이였는데 사장의 갑질을 참다 못한 야마키는 그냥 곱게 이직하려고도 시도 해봤지만 빚 때문에 리츠코의 손아귀를 벗어날 수가 없어서 살인할거래
1769,헤이지랑 카즈하는 왜 도쿄에 온거야?,헤이지랑 카즈하는 왜 도쿄에 왔었던거야?,헤이지랑 카즈하는 왜 도쿄에 간거야?,헤이지랑 카즈하는 도쿄를 왜간거야?,헤이지랑 카즈하는 도쿄 긴자에 있는 일루미네이션을 보러 도쿄에 온거래
1770,오오즈미 메이스케의 범행동기가 뭐야?,오오즈미 메이스케의 범행동기 알아?,오오즈미 메이스케의 범행동기에 대해 알려줘,오오즈미 메이스케의 범행동기에 대해 설명해줘,"야마시타 유이는 남친인 오오즈미를 성인 '오오즈미'로 불렀고, 안자이는 이름인 '텐고'라고 불렀어 오오즈미는 그 둘이 평범한 소꿉친구가 아니라 생각했고, 예전에 사귀었던 사이라고 추측했고 이를 비밀로 하고 말해주지 않았기에 범행을 저지른 것이라고해"
1771,안자이가 플러그를 꽂자마자 정전된 이유가 뭐야?,안자이가 플러그를 꽂자마자 정전된 이유 알아?,안자이가 플러그를 꽂자마자 정전된 이유에 대해 알려줘,안자이가 플러그를 꽂자마자 정전된 이유에 대해 설명해줘,안자이가 플러그를 꽂자마자 정전된 이유는 플러그에 미리 가는 철사가 감겨 있었기 때문이였어
1772,오오즈미 메이스케 어두운 곳에서도 정확하게 등을 찌를 수 있었던 이유는?,오오즈미 메이스케 어두운 곳에서도 정확하게 등을 찌를 수 있었던 이유가 뭐야?,오오즈미 메이스케 어두운 곳에서도 정확하게 등을 찌를 수 있었던 이유 알아?,오오즈미 메이스케 어두운 곳에서도 정확하게 등을 찌를 수 있었던 이유 알려줘,"오오즈미 메이스케 어두운 곳에서도 정확하게 등을 찌를 수 있었던 이유는 몇년 전 학교 동아리에서 연극을 할 때 포와로와 의자 크기, 책상의 높이 등등 세세한 것까지 똑같이 만든 세트를 만들었기에 연습할 수 있었대"
1773,히지리사와 스즈요 알아?,히지리사와 스즈요가 누구야?,히지리사와 스즈요에 대해 알려줘,히지리사와 스즈요에 대해 설명해줘,히지리사와 스즈요는 이로하 스시집의 40대의 거구의 손님인데 만마권을 도난당한 피해자야
1774,무네치카 타메시게 알아?,무네치카 타메시게가 누구야?,무네치카 타메시게에 대해 알려줘,무네치카 타메시게에 대해 설명해줘,무네치카 타메시게는 40대의 평범한 샐러리맨 손님인데 이로하 스시집에서 100만 엔 상당의 만마권을 훔친적이 있어
1775,모리 코고로가 갑자기 스시를 사준이유가뭐야?,모리 코고로가 스시집에 가자한이유가뭐야?,모리 코고로 아저씨가 스시를 사준다한이유가뭐야?,모리 코고로가 갑자기 스시를 사준다한 이유 알려줘,코고로 아저씨가 길을 걷다가 길가에 떨어진 만마권을 줍게 되는데 해당 만마권은 당첨 만마권으로 100만 엔 상당의 가치를 가진 만마권이었어 그래서 스시집에 가자한거야
1776,무네치카 타메시게의 범행 동기 알아?,무네치카 타메시게의 범행동기에 대해 알려줘,무네치카 타메시게의 범행동기가 뭐야?,무네치카 타메시게의 범행동기에 대해 알려줘,무네치카 타메시게는 장모님이 부자 가문인데 아내는 부자 가문에서 태어났기에 돈이 얼마나 귀한지 모르고 돈이 생기는 대로 닥치대로 써댔기 때문에 자신의 월급으로는 아내의 욕구를 감당시킬 수 없었고 대출까지 받으며 빚까지 생겼는데 스시집에서 피해자가 100만 엔 상당의 만마권에 당첨되었다는 소식을 접하고 지푸라기라도 잡는 심정으로 범행을 계획했다고 해
1777,모리타 미후유가 누구야?,모리타 미후유 알아?,모리타 미후유에 대해 설명해줘,모리타 미후유에 대해 알려줘,모리타 미후유는 아야노의 친구로 미후유 역시 빵집에서 일하고 있었는데 집에서 칼에 찔려서 쓰러진 채 발견되었다가 사라졌는데 나중에 알고보니 죽은척을 한거였어
1778,모리타 미후유의 살인동기가 뭐야?,모리타 미후유의 살인동기에 대해 알려줘,모리타 미후유의 살인동기가 뭐였어?,모리타 미후유의 살인동기 알아?,"사실은 아츠시는 연애사기꾼였는데 미후유가 베이커리 카페를 열기 위해 모아놓은 1천만엔을 거래처와의 일이 틀어져 급전이 필요하다는 이유로 빌려갔는데, 아야노에게도 똑같은 말을 하며 접근을했는데 아야노는 이 사실을 미후유에게 알렸고 이에 아츠시에게 확실하게 복수하기로 마음먹고 살인을 한거야"
1779,아즈마 토이치로가 누구야?,아즈마 토이치로 알아?,아즈마 토이치로에 대해 알려줘,아즈마 토이치로에 대해 설명해줘,"아즈마 토이치로는 부동산 사장인데 평소에 온갖 악행과 부정을 저질러온 악인이며, 그 때문에 복면 쓴 괴한에게 피습당해 간신히 목숨을 건지고 코고로 아저씨에게 괴한을 잡아줄 것을 의뢰한적있어"
1780,야마나미 벤키치 알아?,야마나미 벤키치에 대해 알려줘,야마나미 벤키치가 누구야?,야마나미 벤키치에 대해 설명해줘,"야마나미 벤키치는 회사원으로 이제껏 아즈마에게 땅을 매각하라고 압박당하고 있었으며, 아내가 죽은 후 땅을 매각하기로 결심했다고해 하지만 아내가 죽은 이유가 아즈마에게 살해당했기 때문이라고 의심하고 있어"
1781,키타오 미츠루 알아?,키타오 미츠루에 대해 알려줘,키타오 미츠루에 대해 설명해줘,키타오 미츠루가 누구야?,키타오 미츠루는 자동차 수리공으로 아버지 명의의 땅을 빼앗긴 건으로 아즈마에게 원한을 가지고 있다고해
1782,토무라이 카나 알아?,토무라이 카나에 대해 알려줘,토무라이 카나에 대해 설명해줘,토무라이 카나가 누구야?,토무라이 카나는 식당 웨이트리스로 키타오의 아버지 명의의 땅을 빼앗긴 건과 비슷한 문제로 아즈마에게 원한을 가지고 있다고해
1783,카사이 하루히코 알아?,카사이 하루히코에 대해 알려줘,카사이 하루히코에 대해 설명해줘,카사이 하루히코가 누구야?,카사이 하루히코는 아즈마의 비서로 아즈마 사장이 피습당한 것에 비서로서 죄책감을 느끼고 있다고해
1784,스에마츠 스에코 알아?,스에마츠 스에코에 대해 알려줘,스에마츠 스에코에 대해 설명해줘,스에마츠 스에코가 누구야?,스에마츠 스에코는 아즈마의 부동산 회사 직원으로 코고로에게 아즈마 토이치로의 팔을 칼로 벤 자를 찾기위해 관련된 증언을 해주기도 했다
1785,우츠보 타카시는 왜죽은거야?,우츠보 타카시는 어떻게 죽은거야?,우츠보 타카시는 왜죽었어?,우츠보 타카시 어쩌다 죽었어?,우츠보 타카시는 감옥에서 복역 중 병사했어
1786,카사이 하루히코의 범행동기 알아?,카사이 하루히코의 범행동기에 대해 알려줘,카사이 하루히코의 범행동기가 뭐야?,카사이 하루히코의 범행동기에 대해 설명해줘,카사이 하루히코의 범행동기는 야마나미가 카사이를 협박해 아즈마 사장을 해치도록 지시해서래
1787,야마나미 벤키치의 범행동기 알아?,야마나미 벤키치의 범행동기가 뭐야?,야마나미 벤키치의 범행동기에 대해 알려줘,야마나미 벤키치의 범행동기에 대해 설명해줘,"카사이는 카사이의 여동생이 어느 좋은 회사에 취직할 상황이 되자, 자신 때문에 여동생이 취직을 못하게 될 지도 모른다는 사실에 두려워했었는데 이를 눈치챈 야마나미가 이를 이용해 카사이를 협박해 아즈마를 대신 해치도록 지시했어"
1788,토무라이 카나의 범행동기가 뭐야?,토무라이 카나의 범행동기 알아?,토무라이 카나의 범행동기에 대해 알려줘,토무라이 카나의 범행동기에 대해 설명해줘,"토무라이 카나는 우츠보의 연인이었으며, 우츠보가 잠자는 코고로아저씨에 의해 체포되어 복역하다가 병사하자 코고로아저씨에게 원한을 품고 코고로아저씨를 죽이기로 계획한거야"
1789,모리 코고로의 만마권은 어떻게됐어?,코고로의 만마관 결과 알려줘,코고로의 만마관 결과 알아?,코고로의 만마관 결과 뭔지알아?,평소와 다름없이 만마권을 구매했지만 결과는 어김없이 꽝이야
1790,게는 덜 익었지만이 무슨뜻이야?,게는 덜 익었지만이라는 메시지의 암호의 뜻은뭐야?,게는 덜 익었지만이라는 암호는 무슨뜻이야?,게는 덜 익었지만이라는 암호 알아?,게는 덜 익었지만을 해독해보면 게는 살아있을 때는 검지만 익으면 붉은색인데 덜 익었다는 건 그다지 빨개지지 않았으며 즉 원래는 빨갛지만 반쯤 검어진 무언가를 의미하지 그게 건물을 뜻하는 거라면 보름날 조명을 반쯤 끈 건물 → 도쿄타워 인걸 알수있어
1791,오늘 밤은 밝으니라는 메시지는 무슨뜻이야?,오늘 밤은 밝으니라는 암호는 무슨뜻이야?,오늘 밤은 밝으니는 무슨뜻이야?,오늘 밤은 밝으니라는 메시지의 암호는 무슨뜻이야?,오늘 밤은 밝으니를 해독해보면 현재 달은 보름달이라는뜻이야
